Border,Date,Measure,Value,Average
US-Canada Border,10/01/2004 12:00:00 AM,Train Passengers,19741,28745
US-Canada Border,10/01/2004 12:00:00 AM,Buses,10983,15924
US-Canada Border,10/01/2004 12:00:00 AM,Trains,2816,2721
US-Mexico Border,10/01/2004 12:00:00 AM,Train Passengers,1005,1067
US-Mexico Border,10/01/2004 12:00:00 AM,Trains,671,652
US-Mexico Border,10/01/2003 12:00:00 AM,Personal Vehicle Passengers,16006111,15890094
US-Mexico Border,10/01/2003 12:00:00 AM,Personal Vehicles,7460866,7261848
US-Canada Border,10/01/2003 12:00:00 AM,Personal Vehicle Passengers,5061365,6179316
US-Mexico Border,10/01/2003 12:00:00 AM,Pedestrians,3997258,3724564
US-Canada Border,10/01/2003 12:00:00 AM,Personal Vehicles,2596995,2929072
US-Canada Border,10/01/2003 12:00:00 AM,Trucks,609858,568824
US-Canada Border,10/01/2003 12:00:00 AM,Truck Containers Full,509489,476775
US-Mexico Border,10/01/2003 12:00:00 AM,Trucks,387698,344834
US-Canada Border,10/01/2003 12:00:00 AM,Bus Passengers,352039,384300
US-Mexico Border,10/01/2003 12:00:00 AM,Bus Passengers,268445,310023
US-Mexico Border,10/01/2003 12:00:00 AM,Truck Containers Full,238540,211029
US-Mexico Border,10/01/2003 12:00:00 AM,Truck Containers Empty,151200,140506
US-Canada Border,10/01/2003 12:00:00 AM,Rail Containers Full,124555,115174
US-Canada Border,10/01/2003 12:00:00 AM,Pedestrians,87739,123723
US-Canada Border,10/01/2003 12:00:00 AM,Truck Containers Empty,85489,79125
US-Mexico Border,10/01/2003 12:00:00 AM,Buses,47598,23837
US-Canada Border,10/01/2003 12:00:00 AM,Rail Containers Empty,39706,39204
US-Mexico Border,10/01/2003 12:00:00 AM,Rail Containers Empty,29635,27040
US-Mexico Border,10/01/2003 12:00:00 AM,Rail Containers Full,22119,22111
US-Canada Border,10/01/2003 12:00:00 AM,Train Passengers,15938,24790
US-Canada Border,10/01/2003 12:00:00 AM,Buses,13528,15508
US-Canada Border,10/01/2003 12:00:00 AM,Trains,2905,2887
US-Mexico Border,10/01/2003 12:00:00 AM,Train Passengers,1103,1031
US-Mexico Border,10/01/2003 12:00:00 AM,Trains,689,649
US-Mexico Border,10/01/2002 12:00:00 AM,Personal Vehicle Passengers,16120768,16762675
US-Mexico Border,10/01/2002 12:00:00 AM,Personal Vehicles,7683871,7516835
US-Canada Border,10/01/2002 12:00:00 AM,Personal Vehicle Passengers,5592067,6851610
US-Mexico Border,10/01/2002 12:00:00 AM,Pedestrians,4057750,4016399
US-Canada Border,10/01/2002 12:00:00 AM,Personal Vehicles,2710153,3155408
US-Canada Border,10/01/2002 12:00:00 AM,Trucks,632728,585587
US-Canada Border,10/01/2002 12:00:00 AM,Truck Containers Full,536341,492710
US-Mexico Border,10/01/2002 12:00:00 AM,Trucks,398319,363753
US-Canada Border,10/01/2002 12:00:00 AM,Bus Passengers,387228,468855
US-Mexico Border,10/01/2002 12:00:00 AM,Bus Passengers,350556,314473
US-Mexico Border,10/01/2002 12:00:00 AM,Truck Containers Full,230600,205112
US-Mexico Border,10/01/2002 12:00:00 AM,Truck Containers Empty,166037,155506
US-Canada Border,10/01/2002 12:00:00 AM,Rail Containers Full,125437,116359
US-Canada Border,10/01/2002 12:00:00 AM,Truck Containers Empty,91485,85392
US-Canada Border,10/01/2002 12:00:00 AM,Pedestrians,91461,156583
US-Canada Border,10/01/2002 12:00:00 AM,Rail Containers Empty,38494,36800
US-Mexico Border,10/01/2002 12:00:00 AM,Rail Containers Empty,28457,26278
US-Mexico Border,10/01/2002 12:00:00 AM,Buses,26476,25319
US-Mexico Border,10/01/2002 12:00:00 AM,Rail Containers Full,24973,23168
US-Canada Border,10/01/2002 12:00:00 AM,Train Passengers,16211,28210
US-Canada Border,10/01/2002 12:00:00 AM,Buses,13869,17412
US-Canada Border,10/01/2002 12:00:00 AM,Trains,2892,2848
US-Mexico Border,10/01/2002 12:00:00 AM,Train Passengers,1256,1148
US-Mexico Border,10/01/2002 12:00:00 AM,Trains,701,637
US-Mexico Border,10/01/2001 12:00:00 AM,Personal Vehicle Passengers,12888484,15829347
US-Mexico Border,10/01/2001 12:00:00 AM,Personal Vehicles,6012965,7148299
US-Canada Border,10/01/2001 12:00:00 AM,Personal Vehicle Passengers,4595981,7276623
US-Mexico Border,10/01/2001 12:00:00 AM,Pedestrians,3985715,4035168
US-Canada Border,10/01/2001 12:00:00 AM,Personal Vehicles,2223417,3221730
US-Canada Border,10/01/2001 12:00:00 AM,Trucks,607236,561313
US-Canada Border,10/01/2001 12:00:00 AM,Truck Containers Full,498355,464726
US-Mexico Border,10/01/2001 12:00:00 AM,Trucks,385399,349010
US-Canada Border,10/01/2001 12:00:00 AM,Bus Passengers,318743,463745
US-Mexico Border,10/01/2001 12:00:00 AM,Bus Passengers,265901,269195
US-Mexico Border,10/01/2001 12:00:00 AM,Truck Containers Full,207446,190974
US-Mexico Border,10/01/2001 12:00:00 AM,Truck Containers Empty,176225,161168
US-Canada Border,10/01/2001 12:00:00 AM,Rail Containers Full,165265,100650
US-Canada Border,10/01/2001 12:00:00 AM,Truck Containers Empty,92545,83367
US-Canada Border,10/01/2001 12:00:00 AM,Pedestrians,72338,87415
US-Canada Border,10/01/2001 12:00:00 AM,Rail Containers Empty,51987,35964
US-Mexico Border,10/01/2001 12:00:00 AM,Rail Containers Empty,29003,25431
US-Mexico Border,10/01/2001 12:00:00 AM,Rail Containers Full,24685,23175
US-Mexico Border,10/01/2001 12:00:00 AM,Buses,23293,22862
US-Canada Border,10/01/2001 12:00:00 AM,Train Passengers,15087,27685
US-Canada Border,10/01/2001 12:00:00 AM,Buses,12497,17295
US-Canada Border,10/01/2001 12:00:00 AM,Trains,2860,2742
US-Mexico Border,10/01/2001 12:00:00 AM,Train Passengers,1617,1544
US-Mexico Border,10/01/2001 12:00:00 AM,Trains,665,629
US-Mexico Border,10/01/2000 12:00:00 AM,Personal Vehicle Passengers,19935645,19930295
US-Mexico Border,10/01/2000 12:00:00 AM,Personal Vehicles,7700555,7674184
US-Canada Border,10/01/2000 12:00:00 AM,Personal Vehicle Passengers,7193370,8959286
US-Mexico Border,10/01/2000 12:00:00 AM,Pedestrians,3674661,3858233
US-Canada Border,10/01/2000 12:00:00 AM,Personal Vehicles,3139788,3618184
US-Canada Border,10/01/2000 12:00:00 AM,Trucks,626833,594934
US-Canada Border,10/01/2000 12:00:00 AM,Truck Containers Full,511645,452443
US-Canada Border,10/01/2000 12:00:00 AM,Bus Passengers,441070,553198
US-Mexico Border,10/01/2000 12:00:00 AM,Trucks,388288,380037
US-Mexico Border,10/01/2000 12:00:00 AM,Bus Passengers,310372,268820
US-Mexico Border,10/01/2000 12:00:00 AM,Truck Containers Full,211084,170326
US-Mexico Border,10/01/2000 12:00:00 AM,Truck Containers Empty,169279,133218
US-Canada Border,10/01/2000 12:00:00 AM,Rail Containers Full,92187,102630
US-Canada Border,10/01/2000 12:00:00 AM,Truck Containers Empty,73182,77284
US-Canada Border,10/01/2000 12:00:00 AM,Pedestrians,47974,67308
US-Canada Border,10/01/2000 12:00:00 AM,Rail Containers Empty,30791,32789
US-Mexico Border,10/01/2000 12:00:00 AM,Rail Containers Empty,24295,22515
US-Mexico Border,10/01/2000 12:00:00 AM,Rail Containers Full,23375,24259
US-Mexico Border,10/01/2000 12:00:00 AM,Buses,22553,22210
US-Canada Border,10/01/2000 12:00:00 AM,Train Passengers,20175,30005
US-Canada Border,10/01/2000 12:00:00 AM,Buses,16227,20728
US-Canada Border,10/01/2000 12:00:00 AM,Trains,2908,2819
US-Mexico Border,10/01/2000 12:00:00 AM,Train Passengers,1627,1549
US-Mexico Border,10/01/2000 12:00:00 AM,Trains,619,619
US-Mexico Border,10/01/1999 12:00:00 AM,Personal Vehicle Passengers,20707014,20103604
US-Mexico Border,10/01/1999 12:00:00 AM,Personal Vehicles,7619439,7441377
US-Canada Border,10/01/1999 12:00:00 AM,Personal Vehicle Passengers,7285038,8881722
US-Mexico Border,10/01/1999 12:00:00 AM,Pedestrians,3700771,3701246
US-Canada Border,10/01/1999 12:00:00 AM,Personal Vehicles,3183898,3649961
US-Canada Border,10/01/1999 12:00:00 AM,Trucks,601920,581241
US-Canada Border,10/01/1999 12:00:00 AM,Truck Containers Full,470230,442157
US-Canada Border,10/01/1999 12:00:00 AM,Bus Passengers,395318,465527
US-Mexico Border,10/01/1999 12:00:00 AM,Trucks,373179,363643
US-Mexico Border,10/01/1999 12:00:00 AM,Bus Passengers,236030,288246
US-Mexico Border,10/01/1999 12:00:00 AM,Truck Containers Full,189505,192006
US-Mexico Border,10/01/1999 12:00:00 AM,Truck Containers Empty,157229,165367
US-Canada Border,10/01/1999 12:00:00 AM,Rail Containers Full,86405,92399
US-Canada Border,10/01/1999 12:00:00 AM,Truck Containers Empty,78609,71605
US-Canada Border,10/01/1999 12:00:00 AM,Pedestrians,44926,64828
US-Mexico Border,10/01/1999 12:00:00 AM,Rail Containers Empty,28065,23735
US-Canada Border,10/01/1999 12:00:00 AM,Rail Containers Empty,26064,28375
US-Mexico Border,10/01/1999 12:00:00 AM,Buses,23529,25334
US-Mexico Border,10/01/1999 12:00:00 AM,Rail Containers Full,19851,20349
US-Canada Border,10/01/1999 12:00:00 AM,Train Passengers,18590,27342
US-Canada Border,10/01/1999 12:00:00 AM,Buses,15398,19167
US-Canada Border,10/01/1999 12:00:00 AM,Trains,2740,2678
US-Mexico Border,10/01/1999 12:00:00 AM,Train Passengers,1781,1190
US-Mexico Border,10/01/1999 12:00:00 AM,Trains,522,514
US-Mexico Border,10/01/1998 12:00:00 AM,Personal Vehicle Passengers,19504313,18518345
US-Mexico Border,10/01/1998 12:00:00 AM,Personal Vehicles,7230008,6894966
US-Canada Border,10/01/1998 12:00:00 AM,Personal Vehicle Passengers,7090153,8742460
US-Mexico Border,10/01/1998 12:00:00 AM,Pedestrians,3580355,3277184
US-Canada Border,10/01/1998 12:00:00 AM,Personal Vehicles,2988293,3514211
US-Canada Border,10/01/1998 12:00:00 AM,Trucks,541898,538023
US-Canada Border,10/01/1998 12:00:00 AM,Truck Containers Full,398597,372821
US-Mexico Border,10/01/1998 12:00:00 AM,Trucks,329285,326038
US-Canada Border,10/01/1998 12:00:00 AM,Bus Passengers,324912,417515
US-Mexico Border,10/01/1998 12:00:00 AM,Bus Passengers,322718,296043
US-Mexico Border,10/01/1998 12:00:00 AM,Truck Containers Full,181774,157757
US-Mexico Border,10/01/1998 12:00:00 AM,Truck Containers Empty,151127,134863
US-Canada Border,10/01/1998 12:00:00 AM,Rail Containers Full,92747,79344
US-Canada Border,10/01/1998 12:00:00 AM,Truck Containers Empty,64386,62397
US-Canada Border,10/01/1998 12:00:00 AM,Pedestrians,42992,65346
US-Canada Border,10/01/1998 12:00:00 AM,Rail Containers Empty,28727,26710
US-Mexico Border,10/01/1998 12:00:00 AM,Buses,22905,21682
US-Mexico Border,10/01/1998 12:00:00 AM,Rail Containers Empty,18635,16749
US-Canada Border,10/01/1998 12:00:00 AM,Train Passengers,17230,25912
US-Mexico Border,10/01/1998 12:00:00 AM,Rail Containers Full,16329,15734
US-Canada Border,10/01/1998 12:00:00 AM,Buses,14379,18059
US-Canada Border,10/01/1998 12:00:00 AM,Trains,2785,2722
US-Mexico Border,10/01/1998 12:00:00 AM,Train Passengers,1380,873
US-Mexico Border,10/01/1998 12:00:00 AM,Trains,507,492
US-Mexico Border,10/01/1997 12:00:00 AM,Personal Vehicle Passengers,18517433,18662279
US-Canada Border,10/01/1997 12:00:00 AM,Personal Vehicle Passengers,7572362,9326654
US-Mexico Border,10/01/1997 12:00:00 AM,Personal Vehicles,6906264,6962981
US-Mexico Border,10/01/1997 12:00:00 AM,Pedestrians,3524220,3466583
US-Canada Border,10/01/1997 12:00:00 AM,Personal Vehicles,3150381,3791035
US-Canada Border,10/01/1997 12:00:00 AM,Trucks,516240,493694
US-Mexico Border,10/01/1997 12:00:00 AM,Trucks,343053,311466
US-Canada Border,10/01/1997 12:00:00 AM,Bus Passengers,335772,423841
US-Canada Border,10/01/1997 12:00:00 AM,Truck Containers Full,309010,169600
US-Mexico Border,10/01/1997 12:00:00 AM,Bus Passengers,278975,276775
US-Mexico Border,10/01/1997 12:00:00 AM,Truck Containers Full,162419,150458
US-Mexico Border,10/01/1997 12:00:00 AM,Truck Containers Empty,150512,145885
US-Canada Border,10/01/1997 12:00:00 AM,Rail Containers Full,72223,33565
US-Canada Border,10/01/1997 12:00:00 AM,Truck Containers Empty,47501,30804
US-Canada Border,10/01/1997 12:00:00 AM,Pedestrians,27225,81596
US-Mexico Border,10/01/1997 12:00:00 AM,Buses,23365,20581
US-Canada Border,10/01/1997 12:00:00 AM,Rail Containers Empty,22718,15298
US-Canada Border,10/01/1997 12:00:00 AM,Train Passengers,17255,27769
US-Mexico Border,10/01/1997 12:00:00 AM,Rail Containers Full,14700,14829
US-Mexico Border,10/01/1997 12:00:00 AM,Rail Containers Empty,14121,15223
US-Canada Border,10/01/1997 12:00:00 AM,Buses,13527,17439
US-Canada Border,10/01/1997 12:00:00 AM,Trains,2557,2835
US-Mexico Border,10/01/1997 12:00:00 AM,Train Passengers,1143,847
US-Mexico Border,10/01/1997 12:00:00 AM,Trains,484,717
US-Mexico Border,10/01/1996 12:00:00 AM,Personal Vehicle Passengers,14402994,14222690
US-Canada Border,10/01/1996 12:00:00 AM,Personal Vehicle Passengers,8478286,10147252
US-Mexico Border,10/01/1996 12:00:00 AM,Personal Vehicles,5142694,5167883
US-Canada Border,10/01/1996 12:00:00 AM,Personal Vehicles,3208870,3848392
US-Mexico Border,10/01/1996 12:00:00 AM,Pedestrians,2774875,2701336
US-Canada Border,10/01/1996 12:00:00 AM,Trucks,507303,459001
US-Canada Border,10/01/1996 12:00:00 AM,Bus Passengers,336459,418396
US-Mexico Border,10/01/1996 12:00:00 AM,Trucks,314510,262064
US-Mexico Border,10/01/1996 12:00:00 AM,Bus Passengers,165519,141417
US-Mexico Border,10/01/1996 12:00:00 AM,Truck Containers Full,161146,133540
US-Mexico Border,10/01/1996 12:00:00 AM,Truck Containers Empty,133543,110271
US-Canada Border,10/01/1996 12:00:00 AM,Truck Containers Full,123841,108407
US-Canada Border,10/01/1996 12:00:00 AM,Pedestrians,32463,89701
US-Canada Border,10/01/1996 12:00:00 AM,Truck Containers Empty,27525,18867
US-Canada Border,10/01/1996 12:00:00 AM,Rail Containers Full,26650,25692
US-Canada Border,10/01/1996 12:00:00 AM,Train Passengers,15919,23473
US-Canada Border,10/01/1996 12:00:00 AM,Buses,14787,17931
US-Mexico Border,10/01/1996 12:00:00 AM,Rail Containers Empty,10853,11386
US-Mexico Border,10/01/1996 12:00:00 AM,Rail Containers Full,10606,12532
US-Canada Border,10/01/1996 12:00:00 AM,Rail Containers Empty,10174,10173
US-Mexico Border,10/01/1996 12:00:00 AM,Buses,10133,10082
US-Canada Border,10/01/1996 12:00:00 AM,Trains,2820,2666
US-Mexico Border,10/01/1996 12:00:00 AM,Train Passengers,1164,810
US-Mexico Border,10/01/1996 12:00:00 AM,Trains,609,551
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,11822961,12367919
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicles,6319271,6516470
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,4376264,5825631
US-Mexico Border,09/01/2018 12:00:00 AM,Pedestrians,3524531,3832841
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2339723,2816873
US-Mexico Border,09/01/2018 12:00:00 AM,Trucks,494057,539370
US-Canada Border,09/01/2018 12:00:00 AM,Trucks,477492,500718
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Full,361864,391361
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,360290,372336
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,179957,221300
US-Mexico Border,09/01/2018 12:00:00 AM,Bus Passengers,160813,200964
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,154683,147872
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Empty,141079,153457
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,126940,138907
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,63582,61820
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,54019,73622
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Empty,50037,46055
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Full,43621,40833
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,29355,47692
US-Mexico Border,09/01/2018 12:00:00 AM,Buses,13468,14815
US-Canada Border,09/01/2018 12:00:00 AM,Buses,7896,8941
US-Canada Border,09/01/2018 12:00:00 AM,Trains,1970,2046
US-Mexico Border,09/01/2018 12:00:00 AM,Trains,933,938
US-Mexico Border,09/01/2018 12:00:00 AM,Train Passengers,874,892
US-Mexico Border,09/01/2017 12:00:00 AM,Personal Vehicle Passengers,11518284,12314369
US-Mexico Border,09/01/2017 12:00:00 AM,Personal Vehicles,6233052,6493143
US-Canada Border,09/01/2017 12:00:00 AM,Personal Vehicle Passengers,4569811,5689428
US-Mexico Border,09/01/2017 12:00:00 AM,Pedestrians,3276482,3467563
US-Canada Border,09/01/2017 12:00:00 AM,Personal Vehicles,2425684,2800629
US-Mexico Border,09/01/2017 12:00:00 AM,Trucks,493093,511946
US-Canada Border,09/01/2017 12:00:00 AM,Trucks,478231,500610
US-Canada Border,09/01/2017 12:00:00 AM,Truck Containers Full,355731,379470
US-Mexico Border,09/01/2017 12:00:00 AM,Truck Containers Full,337455,365564
US-Canada Border,09/01/2017 12:00:00 AM,Bus Passengers,195397,227115
US-Mexico Border,09/01/2017 12:00:00 AM,Truck Containers Empty,153489,162635
US-Canada Border,09/01/2017 12:00:00 AM,Rail Containers Full,141462,141279
US-Canada Border,09/01/2017 12:00:00 AM,Truck Containers Empty,132864,148239
US-Mexico Border,09/01/2017 12:00:00 AM,Bus Passengers,115717,173201
US-Canada Border,09/01/2017 12:00:00 AM,Rail Containers Empty,65431,66964
US-Canada Border,09/01/2017 12:00:00 AM,Pedestrians,49540,64652
US-Mexico Border,09/01/2017 12:00:00 AM,Rail Containers Empty,45642,44416
US-Mexico Border,09/01/2017 12:00:00 AM,Rail Containers Full,39622,42958
US-Canada Border,09/01/2017 12:00:00 AM,Train Passengers,29330,42193
US-Mexico Border,09/01/2017 12:00:00 AM,Buses,13285,14665
US-Canada Border,09/01/2017 12:00:00 AM,Buses,8634,9838
US-Canada Border,09/01/2017 12:00:00 AM,Trains,1904,1890
US-Mexico Border,09/01/2017 12:00:00 AM,Trains,912,958
US-Mexico Border,09/01/2017 12:00:00 AM,Train Passengers,885,895
US-Mexico Border,09/01/2016 12:00:00 AM,Personal Vehicle Passengers,11100972,11965779
US-Mexico Border,09/01/2016 12:00:00 AM,Personal Vehicles,6118348,6329067
US-Canada Border,09/01/2016 12:00:00 AM,Personal Vehicle Passengers,4511235,5644217
US-Mexico Border,09/01/2016 12:00:00 AM,Pedestrians,3511631,3452233
US-Canada Border,09/01/2016 12:00:00 AM,Personal Vehicles,2504409,2856481
US-Canada Border,09/01/2016 12:00:00 AM,Trucks,497132,501836
US-Mexico Border,09/01/2016 12:00:00 AM,Trucks,481245,485974
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Full,404577,400127
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Full,332088,338711
US-Canada Border,09/01/2016 12:00:00 AM,Bus Passengers,201342,228091
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Empty,144033,142981
US-Mexico Border,09/01/2016 12:00:00 AM,Bus Passengers,136792,234092
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Full,127837,130093
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Empty,97301,100663
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Empty,52410,53975
US-Canada Border,09/01/2016 12:00:00 AM,Pedestrians,50712,67052
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Full,44234,42414
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Empty,43450,41150
US-Canada Border,09/01/2016 12:00:00 AM,Train Passengers,29351,42492
US-Mexico Border,09/01/2016 12:00:00 AM,Buses,12185,15226
US-Canada Border,09/01/2016 12:00:00 AM,Buses,8220,9801
US-Canada Border,09/01/2016 12:00:00 AM,Trains,2486,2455
US-Mexico Border,09/01/2016 12:00:00 AM,Train Passengers,1587,1617
US-Mexico Border,09/01/2016 12:00:00 AM,Trains,889,881
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,10860037,11730446
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicles,6035984,6221618
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,4363739,5860254
US-Mexico Border,09/01/2015 12:00:00 AM,Pedestrians,3139366,3391957
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicles,2494332,2966332
US-Canada Border,09/01/2015 12:00:00 AM,Trucks,500069,483652
US-Mexico Border,09/01/2015 12:00:00 AM,Trucks,455664,453077
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Full,410672,395713
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Full,321472,322687
US-Canada Border,09/01/2015 12:00:00 AM,Bus Passengers,218772,236695
US-Mexico Border,09/01/2015 12:00:00 AM,Bus Passengers,173903,252049
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Empty,134511,141408
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Full,130992,133082
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Empty,105094,111475
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Empty,56083,62766
US-Canada Border,09/01/2015 12:00:00 AM,Pedestrians,45922,66680
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Full,40426,41867
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Empty,36013,37350
US-Canada Border,09/01/2015 12:00:00 AM,Train Passengers,32000,41182
US-Mexico Border,09/01/2015 12:00:00 AM,Buses,15435,17934
US-Canada Border,09/01/2015 12:00:00 AM,Buses,9425,10569
US-Canada Border,09/01/2015 12:00:00 AM,Trains,2554,2591
US-Mexico Border,09/01/2015 12:00:00 AM,Train Passengers,1058,1005
US-Mexico Border,09/01/2015 12:00:00 AM,Trains,829,856
US-Mexico Border,09/01/2014 12:00:00 AM,Personal Vehicle Passengers,10249686,10929475
US-Mexico Border,09/01/2014 12:00:00 AM,Personal Vehicles,5677215,5802189
US-Canada Border,09/01/2014 12:00:00 AM,Personal Vehicle Passengers,4888273,6800880
US-Mexico Border,09/01/2014 12:00:00 AM,Pedestrians,3103375,3388726
US-Canada Border,09/01/2014 12:00:00 AM,Personal Vehicles,2762674,3387096
US-Canada Border,09/01/2014 12:00:00 AM,Trucks,509506,484274
US-Mexico Border,09/01/2014 12:00:00 AM,Trucks,440589,450628
US-Canada Border,09/01/2014 12:00:00 AM,Truck Containers Full,378454,352946
US-Mexico Border,09/01/2014 12:00:00 AM,Truck Containers Full,304518,314405
US-Canada Border,09/01/2014 12:00:00 AM,Bus Passengers,220253,258281
US-Mexico Border,09/01/2014 12:00:00 AM,Bus Passengers,191799,284639
US-Canada Border,09/01/2014 12:00:00 AM,Rail Containers Full,132802,135937
US-Mexico Border,09/01/2014 12:00:00 AM,Truck Containers Empty,132093,132115
US-Canada Border,09/01/2014 12:00:00 AM,Truck Containers Empty,121183,118526
US-Canada Border,09/01/2014 12:00:00 AM,Rail Containers Empty,66650,68214
US-Canada Border,09/01/2014 12:00:00 AM,Pedestrians,43787,68700
US-Mexico Border,09/01/2014 12:00:00 AM,Rail Containers Full,39829,41956
US-Mexico Border,09/01/2014 12:00:00 AM,Rail Containers Empty,35826,36768
US-Canada Border,09/01/2014 12:00:00 AM,Train Passengers,31724,40885
US-Mexico Border,09/01/2014 12:00:00 AM,Buses,17873,18614
US-Canada Border,09/01/2014 12:00:00 AM,Buses,10166,11585
US-Canada Border,09/01/2014 12:00:00 AM,Trains,2395,2479
US-Mexico Border,09/01/2014 12:00:00 AM,Trains,822,867
US-Mexico Border,09/01/2014 12:00:00 AM,Train Passengers,735,981
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,9778521,10575252
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicles,5389491,5778644
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,5109950,6977884
US-Mexico Border,09/01/2013 12:00:00 AM,Pedestrians,3196087,3400223
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicles,2841765,3457935
US-Canada Border,09/01/2013 12:00:00 AM,Trucks,477120,475387
US-Mexico Border,09/01/2013 12:00:00 AM,Trucks,405484,436313
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Full,352489,339902
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Full,273471,297259
US-Canada Border,09/01/2013 12:00:00 AM,Bus Passengers,230454,267309
US-Mexico Border,09/01/2013 12:00:00 AM,Bus Passengers,177670,281701
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Full,128150,126178
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Empty,127800,135863
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Empty,121839,117990
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Empty,63775,66324
US-Canada Border,09/01/2013 12:00:00 AM,Pedestrians,43243,65060
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Full,38311,39203
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Empty,32453,32348
US-Canada Border,09/01/2013 12:00:00 AM,Train Passengers,29884,40235
US-Mexico Border,09/01/2013 12:00:00 AM,Buses,16168,18542
US-Canada Border,09/01/2013 12:00:00 AM,Buses,10574,11794
US-Canada Border,09/01/2013 12:00:00 AM,Trains,2461,2456
US-Mexico Border,09/01/2013 12:00:00 AM,Trains,793,799
US-Mexico Border,09/01/2013 12:00:00 AM,Train Passengers,294,361
US-Mexico Border,09/01/2012 12:00:00 AM,Personal Vehicle Passengers,9270098,9734957
US-Canada Border,09/01/2012 12:00:00 AM,Personal Vehicle Passengers,5310244,6852364
US-Mexico Border,09/01/2012 12:00:00 AM,Personal Vehicles,5132479,5249147
US-Mexico Border,09/01/2012 12:00:00 AM,Pedestrians,3127024,3330081
US-Canada Border,09/01/2012 12:00:00 AM,Personal Vehicles,2903426,3417408
US-Canada Border,09/01/2012 12:00:00 AM,Trucks,457817,484022
US-Mexico Border,09/01/2012 12:00:00 AM,Trucks,392223,434560
US-Canada Border,09/01/2012 12:00:00 AM,Truck Containers Full,338751,338777
US-Mexico Border,09/01/2012 12:00:00 AM,Truck Containers Full,258742,289287
US-Canada Border,09/01/2012 12:00:00 AM,Bus Passengers,242833,275895
US-Mexico Border,09/01/2012 12:00:00 AM,Bus Passengers,194726,281827
US-Mexico Border,09/01/2012 12:00:00 AM,Truck Containers Empty,130496,143838
US-Canada Border,09/01/2012 12:00:00 AM,Rail Containers Full,119051,119590
US-Canada Border,09/01/2012 12:00:00 AM,Truck Containers Empty,98020,123135
US-Canada Border,09/01/2012 12:00:00 AM,Rail Containers Empty,59980,62346
US-Canada Border,09/01/2012 12:00:00 AM,Pedestrians,43962,60056
US-Mexico Border,09/01/2012 12:00:00 AM,Rail Containers Full,34167,34599
US-Mexico Border,09/01/2012 12:00:00 AM,Rail Containers Empty,32770,34928
US-Canada Border,09/01/2012 12:00:00 AM,Train Passengers,26716,39080
US-Mexico Border,09/01/2012 12:00:00 AM,Buses,16744,18459
